signal,group,corr_recent_vs_forward,n_days,n_obs
ret_5d_past,ALL,-0.050827692479877166,2832,3935284
ret_5d_past,bear_range,-0.06962069458292297,2830,754046
ret_5d_past,bear_trend,-0.06382631612686769,2816,1048319
ret_5d_past,bull_range,-0.03766266077361333,2812,675791
ret_5d_past,bull_trend,-0.04229877016217419,2815,1456996
ret_20d_past,ALL,-0.032687052333506314,2825,3919667
ret_20d_past,bear_range,-0.04200678081306988,2823,744353
ret_20d_past,bear_trend,-0.054685823408465,2816,1048319
ret_20d_past,bull_range,-0.012634549072394186,2805,669868
ret_20d_past,bull_trend,-0.03523955383537674,2815,1456995
ret_60d_past,ALL,-0.009276634618619701,2785,3834039
ret_60d_past,bear_range,-0.018077300547070452,2783,725244
ret_60d_past,bear_trend,-0.027078427898425843,2783,1025769
ret_60d_past,bull_range,-0.008899150088810903,2764,656303
ret_60d_past,bull_trend,-0.021132654074335788,2782,1426591
W_ret_4w,ALL,-0.010783116719256884,2824,3935263
W_ret_4w,bear_range,-0.00875047357426111,2822,754046
W_ret_4w,bear_trend,-0.026327753702766396,2816,1048319
W_ret_4w,bull_range,0.010019694728145997,2804,675777
W_ret_4w,bull_trend,-0.018650674339593255,2815,1456989
W_ret_13w,ALL,0.0053149647037098804,2781,3935246
W_ret_13w,bear_range,0.009255503853728054,2779,754046
W_ret_13w,bear_trend,-0.003087257450863125,2779,1048319
W_ret_13w,bull_range,0.0060063680840976305,2761,675791
W_ret_13w,bull_trend,-0.009047789657420648,2778,1456958
D_rsi7,ALL,-0.04635602696770758,2832,3935284
D_rsi7,bear_range,-0.06835439875780133,2830,754046
D_rsi7,bear_trend,-0.07220156958597494,2816,1048319
D_rsi7,bull_range,-0.031059614391268628,2812,675791
D_rsi7,bull_trend,-0.030834911886804168,2815,1456996
D_rsi14,ALL,-0.03724376703189758,2831,3935284
D_rsi14,bear_range,-0.05990969181375613,2829,754046
D_rsi14,bear_trend,-0.06860256092577867,2816,1048319
D_rsi14,bull_range,-0.022352657672079227,2811,675791
D_rsi14,bull_trend,-0.024385496062112922,2815,1456996
D_bb_pctB_20,ALL,-0.04264536169252333,2832,3935284
D_bb_pctB_20,bear_range,-0.06437488653838339,2830,754046
D_bb_pctB_20,bear_trend,-0.06900648204547322,2816,1048319
D_bb_pctB_20,bull_range,-0.026717776390150823,2812,675791
D_bb_pctB_20,bull_trend,-0.030942811779009295,2815,1456996
D_donch_pos_20,ALL,-0.03694444785374499,2832,3935284
D_donch_pos_20,bear_range,-0.05593309247053081,2830,754046
D_donch_pos_20,bear_trend,-0.06361444129718072,2816,1048319
D_donch_pos_20,bull_range,-0.01952710915160885,2812,675791
D_donch_pos_20,bull_trend,-0.023685473509117396,2815,1456996
D_donch_pos_50,ALL,-0.023628360373787072,2832,3935284
D_donch_pos_50,bear_range,-0.04624763123611106,2830,754046
D_donch_pos_50,bear_trend,-0.060210329449787096,2816,1048319
D_donch_pos_50,bull_range,-0.005526546110502691,2812,675791
D_donch_pos_50,bull_trend,-0.012271460677752595,2815,1456996
D_dist_from_20h,ALL,-0.023702296703485736,2832,3935284
D_dist_from_20h,bear_range,-0.039303295683841444,2830,754046
D_dist_from_20h,bear_trend,-0.04515646986347179,2816,1048319
D_dist_from_20h,bull_range,-0.008943748426794016,2812,675791
D_dist_from_20h,bull_trend,-0.00884647768620579,2815,1456996
D_dist_from_52wh,ALL,0.014536931627166657,2795,3935284
D_dist_from_52wh,bear_range,0.012565453302258486,2793,754046
D_dist_from_52wh,bear_trend,0.0017475268869999894,2793,1048319
D_dist_from_52wh,bull_range,0.018572187899723955,2775,675791
D_dist_from_52wh,bull_trend,0.015261371677689763,2792,1456996
D_ema20_angle_deg,ALL,-0.05061673377281825,2832,3935284
D_ema20_angle_deg,bear_range,-0.07110643223739128,2830,754046
D_ema20_angle_deg,bear_trend,-0.07411283115870634,2816,1048319
D_ema20_angle_deg,bull_range,-0.030678682662248234,2812,675791
D_ema20_angle_deg,bull_trend,-0.048127567120242284,2815,1456996
D_close_roll_slope_20,ALL,-0.010736870738662757,2832,3935284
D_close_roll_slope_20,bear_range,-0.007734596277548879,2830,754046
D_close_roll_slope_20,bear_trend,-0.019483174315343466,2816,1048319
D_close_roll_slope_20,bull_range,0.0004469518944704342,2812,675791
D_close_roll_slope_20,bull_trend,-0.014421368991052758,2815,1456996
D_macd_hist,ALL,-0.036269065597138425,2832,3935284
D_macd_hist,bear_range,-0.037232170878741075,2830,754046
D_macd_hist,bear_trend,-0.04028234525405821,2816,1048319
D_macd_hist,bull_range,-0.024627345646692077,2812,675791
D_macd_hist,bull_trend,-0.03465755353162939,2815,1456996
